CATEGORY NAME,BRAND,PLCDE,PLDESC,PLTEXT,SIZE,PRICE, VAT,    RRP,B,F,G,O,S,V
MILK - NON DAIRY,OATLY,JU385,Oat Drink - Plus +,added calcium,12 X 1L,15.3,,1.75,,,,,,V
PASTA,LA BIO IDEA,WT230,Tricolore Spaghetti,,12 X 500G,17.55,,1.95,,,,O,,V
SUPPLEMENTS & REMEDIES,SCHWABE PHARMA,MD020,FlexiHerb - Devils Claw Root,for back pain,1 X 40,1.45,1,2.65,,,G,,,
SUGARS & SYRUPS,SUMA COMMODITIES,LJ065,Light Muscovado Sugar,,25 KG,50.2,,,,,G,,S,V
TOMATOES & TOMATO PRODUCTS,SUMA,LJ660,Organic Basil Passata,No Added Salt,12 X 690G,13.41,,1.49,,,G,O,,V
CHEESE SUBSTITUTES (CHILLED),TOFUTTI,CV299,Mozzarella Style D/Free Slices,,24 X 150G,38.69,,2.15,,,G,,S,V
NUTS & SEEDS,SUMA PREPACKS,NU143,Almonds - ground,,6 X 125G,9.21,,2.05,,,G,,,V
BISCUITS CRACKERS & CRISPBREAD,TRAIDCRAFT,BT442,Fruit; Chocolate & Nut Cookies,Counter Display Unit,24 X 44G,12.5,,0.69,,F,,,S,
CRISPS & SNACKS,TYRRELLS,ZX022,Lightly Sea Salted,Maldon Sea Salt Lady Claire,12 X 150G,14.63,1,1.95,,,G,,,V
SUPPLEMENTS & REMEDIES,VEGA,VM102,Chewable Vitamin D 1000 iu,,1 X 30,2.36,1,4.25,,,G,,,
SUPPLEMENTS & REMEDIES,NATURES OWN,VM157,Vit B Complex + Vit C,Euro Formula,50 TABS,8.12,1,14.55,,,G,,,
WATERS,HIGHLAND SPRING,WA007,Spring Water - sparkling,Glass Bottles,12 X 1L,10.13,1,1.35,,,G,,,V
BODYCARE,WELEDA,DY500,Sea Buck Body Wash Banded Pack,replenshes @ revitalises,EACH,6.96,1,11.93,,,,,,V
FAR EASTERN FOOD,BLUE DRAGON,VF416,Bamboo Shoots,,6 X 225G,5.61,,1.25,,,,,,V
SNACK BARS & FLAPJACKS,WHOLEBAKE,KB562,Caramel Fudge,,20 X 80G,9.75,,0.65,,,,,S,
