CATEGORY NAME,BRAND,PLCDE,PLDESC,PLTEXT,SIZE,PRICE, VAT,    RRP,B,F,G,O,S,V
BABY & CHILD FOOD,HIPP,BB087,Rigatoni Napoli,,6 X 190G,5.13,,1.15,,,,O,,
BAGS; BOXES AND BASKETS,SUMA,NF142,Polypropylene Bags 7 in.,"3""x4.5""x7.5"" 76x114x203mm",1000,25.29,1,,,,G,,,V
NON-DAIRY DESSERTS (FROZEN),IT'S ONLY NATURAL,XL116,Fruit Freezie Family Pack,Orange and Mango,6 X 4 X 80ML,15,1,3.99,,,G,,,V
FRUIT & VEGETABLE JUICES,JAMES WHITE,JU391,British Carrot,,6 X 750ML,7.3,1,1.95,,,G,,,V
BODYCARE,LAVERA,DY091,Mild Shampoo,,6 X 200ML,18.12,1,5.45,,,,O,,
CHOCOLATE,KINGDOM CHOCOLATE,KB511,Dark Spicy Orange Chocolate,,15 X 100G,16.73,1,1.89,,,,,S,
SWEET SNACKS,PANDA,ZX435,Licorice Torpedos,Lemon;Aniseed;Peppermint,18 X 100G,14.96,1,1.35,,,,,S,V
PEANUT; SEED & NUT BUTTERS,MERIDIAN,GH087,Almond Butter Smooth 100% Nuts,,1 KG,8.99,,11.99,,,G,,,V
FLAKES; BRANS & WHEATGERM,SUMA COMMODITIES - ORGANIC,FX053,Millet Flakes - Organic,,15 KG,55.19,,,,,G,O,,V
CHOCOLATE,MONTEZUMA'S,KB414,Milk Chocolate,,26 X 30G,13.28,1,0.99,,,G,O,S,
BEANS & PULSES - CANNED,PEARLS OF SAMARKAND,VF048,O/G Fairtrade Chick Peas,,6 X 400G,9.26,,1.99,,F,G,O,,V
FRUIT & VEGETABLE JUICES,BEET IT,JU199,Beet It Sports Stamina Shot,,15 X 7CL,14.3,1,1.59,,,G,,,V
SNACK BARS & FLAPJACKS,NAKD,KB101,Apple Pie Wholefood Bar,,18 X 30G,7.31,1,0.65,,,,,,V
SUPPLEMENTS & REMEDIES,PATCH-IT,MD067,Detox Foot Patch 6's,,6 X PATCH,4.77,1,7.99,,,,,,V
SUPPLEMENTS & REMEDIES,NATURES OWN,VM069,Vitamin E,from wheatgerm & sunflower oil,1 X 50,7.76,1,13.9,,,G,,,V
SUPERFOODS & SPORTS NUTRITION,ORGANIC BURST,MD071,Maca Root Powder,aids endurance,1 X 100G,4.19,,5.99,,,G,O,,V
HERB & FRUIT INFUSIONS,HIGHER LIVING,TE344,Good Mood,,4 X 15 BAGS,11.5,,3.85,,,G,O,,V
INDIAN FOOD,PATAKS,KJ054,Madras Curry Paste,,6 X 283G,9.18,,2.05,,,,,,V
MUESLIS & BREAKFAST CEREALS,PRIMROSE'S KITCHEN,MX109,Raw Beetroot / Ginger Muesli,,12 X 400G,53.52,,5.95,,,G,,,V
NON-DAIRY DESSERTS (FROZEN),BESSANT & DRURY'S,XL245,Chocolate Non-Dairy Ice Cream,,6 X 500ML,18.71,1,4.99,,,G,,S,V
DESSERTS & PUDDINGS (CHILLED),PUDOLOGY,CV129,Gluten free Banoffee Pudding,with Chocolate & biscuit layer,8 X 85G,11.92,,1.99,,,G,,S,V
BISCUITS CRACKERS & CRISPBREAD,WALKERS,BT080,Wheat & Oat Biscuit,organic,12 X 150G,23.56,,2.65,,,,O,S,
DAIRY DESSERTS (FROZEN),ROSKILLYS,XL174,OG Caramel Crunch Ice Cream,,24 X 120ML,19.96,1,1.53,,,G,O,,
YOGURTS; COWS MILK (CHILLED),RACHELS DAIRY,CV269,Org Low-Fat Greek-Style Yogurt,Bio live,6 X 450G,9.47,,2.1,,,G,O,,
SWEET SNACKS,RICOLA,ZX240,Original Swiss Herb Drops,,12 X 70G,8.84,1,1.15,,,G,,S,
FLAKES; BRANS & WHEATGERM,SUMA PREPACKS - ORGANIC,FX093,Rye Flakes - organic,,6 X 500G,6.01,,1.35,,,,O,,V
OLIVES,ORGANICO,KJ411,Levant Sunrise Olives,Pitted;Extra Virgin Olive OilY,6 X 245G,15.53,,3.45,,,G,O,,V
PASTA,LA BIO IDEA,WT237,Linguine,,12 X 500G,12.5,,1.39,,,,O,,V
INDIAN FOOD,SEEDS OF CHANGE,VF132,Jalfrezi Sauce - og,,6 X 350G,12.58,,2.79,,,G,O,,V
BEANS & PULSES - DRIED,SUMA COMMODITIES,PU300,Aduki Beans,,25 KG,38,,,,,G,,,V
FRUIT & VEGETABLE JUICES,STUTE,JU175,Superior Orange Juice,,8 X 1.5L,11.45,1,2.29,,,G,,,V
BODYCARE,SUMA CONDITIONERS,DY645,White Lavender Conditioner,normal to greasy hair,6 X 500ML,17.2,1,4.69,,,,,,V
NUTS & SEEDS,SUMA PREPACKS,NU179,Sunflower seeds,,6 X 500G,8.84,,1.95,,,G,,,V
TEAS,CLIPPER,TE016,Pure Green Tea,,6 X 50 BAGS,10.31,,2.29,,F,G,,,V
PICKLES; CHUTNEYS & MUSTARDS,DUCHY ORIGINALS,KJ194,Tomato Chutney,,6 X 300G,14.22,,3.15,,,G,O,S,V
BODYCARE,URTEKRAM,DY725,Lime Crystal Roll On Deodorant,,6 X 50ML,15.69,1,4.49,,,G,O,,V
PASTA,BIONA,WT332,Wholewheat Spelt Fusili Org,Traditionally Rolled,10 X 500G,15.68,,2.09,,,,O,,V
WINES,SPARKLING WINE,RS027,Gavi Frizzante Cas. Tassarolo,No added sulphur,1 X 75CL,8.91,1,14.19,,,G,O,,V
NUTS & SEEDS,SUMA PREPACKS,NU181,Walnuts - light amber halves,,6 X 250G,16.06,,3.55,,,G,,,V
BODYCARE,WELEDA,DY276,Wild Rose Smoothing Day Cream,replaces Wild Rose Day Cream,6 X 30ML,55.8,1,15.95,,,,,,
BODYCARE,WELEDA,DY431,Wild Rose Creamy Body Wash,inc luxurious OG musk rose oil,200ML,5.22,1,8.95,,,,,,V
PASTA (FRESH; CHILLED),BIONA,CV059,Fresh Green Tortellini,Filled with cheese and spinach,6 X 250G,11.21,,2.49,,,,O,,
SHEEPS MILK PRODUCTS (CHILLED),WOODLANDS DAIRY,CV058,Fig and Apple Sheep's Yoghurt,,6 X 120G,4.95,,1.09,,,G,,,
HERB & FRUIT INFUSIONS,YOGI TEA,TE355,Women's Energy,,6 X 17 BAGS,10.3,,2.29,,,G,O,,V
COFFEE,GRUMPY MULE,TE262,Peru Cafe Femenino in Tin,,6 X 250G,31.45,,6.99,,F,G,O,,V
CHEESE SUBSTITUTES (CHILLED),BUTE ISLAND FOODS,CV315,Sheese -Creamy Original Spread,,6 X 255G,10.54,,2.35,,,G,,S,V
HOUSEHOLD PRODUCTS,BIO-CATOLET,NF971,Cat Litter,100% Recycled Waste Paper,25L,6.99,1,11.05,,,,,,
GOATS MILK PRODUCTS (CHILLED),CYPRESSA,CV512,Feta Cheese approx 6-10 oz,Mixed Goats and Sheeps Milk,12 X 200 G,26.01,,2.89,,,G,,,
HOUSEHOLD CLEANING PRODUCTS,ECOLEAF,HJ055,Laundry Liquid,,6 X 1.5L,22.46,1,5.99,,,,,,V
COCOA,CLIPPER,TE205,Drinking Chocolate Fairtrade,,6 X 250G,13.75,,3.05,,F,G,,S,
FRUIT (FROZEN),WINDMILL HILL,XL282,British Organic Blackcurrants,,12 X 400G,24,,2.66,,,G,O,,V
CRISPS & SNACKS,EAT REAL,ZX165,Lentil Sea Salted Chips,,20 X 40G,8.8,,0.65,,,G,,,V
GRAINS,SUMA PREPACKS - ORGANIC,QS301,Couscous - wholemeal; organic,,6 X 500G,6.3,,1.24,,,,O,,V
FAR EASTERN FOOD,CLEARSPRING,JP114,Hearty Red Miso Soup + Sea Veg,,8 X 4X10G,21.54,,3.59,,,,,,V
FRUIT - DRIED,SUMA BAGGED DOWN,DR126,Currants - medium provincial,,5 KG,17.85,,,,,G,,,V
JAMS & FRUIT SPREADS,DUCHY ORIGINALS,JS091,Damson Preserve,,6 X 340G,15.33,,3.39,,,G,O,S,V
SUPPLEMENTS & REMEDIES,NUFLEX,VM105,Muscle & Joints Warming Gel,,6 X 100ML,20.91,1,5.99,,,G,,,V
HOUSEHOLD CLEANING PRODUCTS,ECOVER,HJ030,Washing Up Liquid,With Chamomile and Marigold,12 X 500ML,10.08,1,1.35,,,,,,
SOUPS,AMY'S KITCHEN,VF265,Lentil Vegetable Soup,,6 X 400G,6.25,,1.4,,,G,,,V
HERBS & SPICES - BULK,BULK ORGANIC,HE703,Whole Black Peppercorns - OG,,500G,9.15,,,,,G,O,,V
COFFEE,EQUAL EXCHANGE,TE403,Decaffeinated - og,,8 X 227G,27.54,,4.59,,F,G,O,,V
BODYCARE,FAITH,DY880,Coconut Foam Bath,,6 X 400ML,14.31,1,4.08,,,,,,V
BODYCARE,FAITH,DY638,Wrapped Soap - Seaweed,,6 X 100G,6.48,1,1.85,,,,,,V
PATES; DIPS & TAPAS (CHILLED),FLORENTIN,CV527,Baba Ganoush,,6 X 200G,15.47,,3.45,,,G,O,,V
FRUIT & VEGETABLE JUICES,FROBISHERS,JU215,Mango Juice,,24 X 250ML,19.41,1,1.33,,,G,,S,V
CIDERS,ASPALL,RT254,Dry Premier Cru Suffolk Cyder,Sparkling 7%,12 X 500ML,22.13,1,2.95,,,G,,,V
CHOCOLATE,GREEN & BLACKS,KB199,70% Dark Chocolate,,30 X 35G,16.66,1,0.89,,F,G,O,S,
HERBS & SPICES - PREPACKED,SUMA,HE143,Cumin,,6 X 50G,3.82,,0.85,,,G,,,V
FRUIT & VEGETABLE JUICES,FRUIT PASSION,JU159,Apple Juice - og,,30 X 200ML,12.75,1,0.69,,,G,O,,V
NUTS & SEEDS,GOOD HEMP FOOD,NU037,Sweet Cinnamon Hemp Seed,,5 X 170G,11.66,,3.15,,,G,,,V
SUPERFOODS & SPORTS NUTRITION,LINUSIT,MD008,Premium Ground Flaxseed - og,,6 X 450G,26.78,,5.95,,,G,O,,V
HERB & FRUIT INFUSIONS,HAMBLEDEN TEAS,TE600,Elderflower - og,,6 X 20BAGS,13.4,,2.99,,,G,O,,V
SUPPLEMENTS & REMEDIES,HIGHER NATURE,VM302,Citricidal,Grapefruit Seed Extract,25ML,3.57,1,6.4,,,,,,V
NON-DAIRY DESSERTS (FROZEN),MOSHI MONSTERS,XL393,Raspberry & Tropical Multipack,,10 X 4 X60ML,16.12,1,2.19,,,G,,,V
BAGS; BOXES AND BASKETS,SUMA,NF143,Polypropylene Bags 9 in.,3 x 5 x 9 inch,1000,27.09,1,,,,G,,,V
FRUIT & VEGETABLE JUICES,BEET IT,JU719,Beetroot Juice with Apple - og,,8 X 1L,19.03,1,3.79,,,G,O,,V
CHOCOLATE,KINGDOM CHOCOLATE,KB515,Milk Peanut Butter Chocolate,,15 X 100G,16.73,1,1.89,,,,,S,
PROMOTIONAL MATERIALS,SUMA,BK039,Brand Discount List,,EACH,0,,,,,,,,
BODYCARE,LAVERA,BK653,Product Information Brochure,,EACH,0,,,,,,,,
PEANUT; SEED & NUT BUTTERS,MERIDIAN,GH072,Almond Butter Smooth w/salt,,6 X 170G,15.7,,3.49,,,G,O,,V
FRUIT - DRIED,SUMA PREPACKS,DR070,Fruit salad - SO2,,6 X 250G,12.12,,2.69,,,G,,,V
CHOCOLATE,MONTEZUMA'S,KB271,OG Milk Chocolate Button Bag,,20 X 180G,33.75,1,2.79,,,G,O,S,
FRUIT & VEGETABLE JUICES,BEET IT,JU201,Beet It Stamina Shot,,15 X 7CL,15.75,,1.42,,,G,O,,V
TOMATOES & TOMATO PRODUCTS,PEARLS OF SAMARKAND,LJ007,OG Unsalted Cherry Tomatoes,,7 X 60G,12.5,,2.39,,,,O,,V
SNACK BARS & FLAPJACKS,NAKD,KB494,Apple Cruch,added protein crunchies,18 X 30G,9.7,1,0.89,,,G,,,V
BODYCARE,NATURTINT,DY855,6G Dark Golden Blonde,,1 X 155ML,5.95,1,10.33,,,G,,,V
SUPPLEMENTS & REMEDIES,NATURES OWN,VM123,Vitamin B12 - Sub Lingual,as Cyanocobalamin,1 X 60,4.41,1,7.9,,,G,,,
BOOKS & OTHER MEDIA,LIZ COOK CHARTS,BK120,Nutrition Chart,Supplied in tubes,1 X CHART,3.72,1,5.95,,,,,,
HERB & FRUIT INFUSIONS,HIGHER LIVING,TE281,Green Tea Coconut,,4 X 15 BAGS,11.5,,3.85,,,G,O,,V
INDIAN FOOD,PATAKS,KJ049,Mixed Pickle,,6 X 283G,9.18,,2.05,,,,,,V
NON-DAIRY DESSERTS (FROZEN),BESSANT & DRURY'S,XL249,Lemon Non-Dairy Ice Cream,,12 X 125ML,14.17,1,1.89,,,G,,S,V
SUPERFOODS & SPORTS NUTRITION,PRIMROSE'S KITCHEN,VM010,Super Organic Beetroot LSA,High in protein; fibre; omega3,12 X 250G,65.28,,7.25,,,G,O,,V
DESSERTS & PUDDINGS (CHILLED),PUDOLOGY,CV130,Gluten Free Chocolate Pudding,with Madagascan Vanilla,8 X 85G,11.92,,1.99,,,G,,S,V
BISCUITS CRACKERS & CRISPBREAD,WALKERS,BT083,Pumpkin & Sunflower Oatcake,organic,12 X 250G,26.18,,2.95,,,,O,S,
DAIRY DESSERTS (FROZEN),ROSKILLYS,XL173,OG Mint Choc Chip Ice Cream,,24 X 120ML,16.49,1,1.53,,,G,O,,
YOGURTS; COWS MILK (CHILLED),RACHELS DAIRY,CV217,Organic Low Fat Mango Yoghurt,,6 X 450G,8.88,,1.99,,,G,O,,
SWEET SNACKS,RICOLA,ZX243,Original Swiss Herb Drops,,24 X 37G,6.85,1,0.45,,,G,,S,
FLAKES; BRANS & WHEATGERM,SUMA COMMODITIES - ORGANIC,FX019,Rye Flakes - organic,,25 KG,26.65,,,,,,O,,V
OLIVES,ORGANICO,KJ081,Moorish Olives,Pitted;Extra Virgin Olive Oil,6 X 245G,15.53,,3.45,,,G,O,,V
OILS & FATS,LA BIO IDEA,GT010,Mint Aroma Olive Oil,,6 X 250ML,13.48,,5.99,,,G,O,,V
BEANS & PULSES - DRIED,SUMA BAGGED DOWN,PU009,Aduki Beans,,3 KG,6.25,,0,,,G,,,V
INDIAN FOOD,SEEDS OF CHANGE,VF069,Korma Sauce - og,,6 X 350G,12.58,,2.79,,,G,O,S,
FRUIT & VEGETABLE JUICES,STUTE,JU177,Superior Apple Juice,,8 X 1.5L,11.45,1,2.29,,,G,,,V
VEGETABLES,SUMA,LJ146,Sweetcorn - Organic; tinned,drained net weight 285g,12 X 340G,10.7,,1.19,,,G,O,,V
TEAS,CLIPPER,TE420,Pure Green Tea - looseleaf,,1 KG,9.93,,,,F,G,,,V
BODYCARE,URTEKRAM,DY906,Lavender Shampoo,,6 X 250ML,15.22,1,4.35,,,,,,V
PICKLES; CHUTNEYS & MUSTARDS,DUCHY ORIGINALS,KJ185,Wholegrain Mustard + Honey,,6 X 170G,11.55,,2.59,,,G,O,,
CONDIMENTS; PASTES & PUREES,BIONA,HE006,Smoked Garlic Paste - organic,See also 'Far Eastern Food',8 X 50G,16.14,,2.69,,,G,O,S,V
WINES,WHITE WINE,RS062,Inzolia - Era,Sicily,1 X 75 CL,4.99,1,9.99,,,G,O,,V
NUTS & SEEDS,SUMA PREPACKS,NU196,Walnuts - light amber pieces,,6 X 125G,8.55,,1.89,,,G,,,V
BODYCARE,WELEDA,DY277,Wild Rose Soothing Face Lotion,replaces Rose Moisture Cream,6 X 30ML,55.8,1,15.95,,,,,,
BODYCARE,WELEDA,DY785,Wild Rose Deodorant Banded Pk,Buy 100ml; get 30ml free,EACH,7.55,1,12.95,,,,,,V
READY TO EAT FOODS (CHILLED),BIONA,CV063,Lucky Stars,with pumpkin; tofu & ginger,4 X 250G,11.07,,3.69,,,,O,,V
GOATS MILK PRODUCTS (CHILLED),WOODLANDS DAIRY,CV056,Natural Goats Yogurt 450g,,6 X 450G,9.6,,2.15,,,G,,,
HERB & FRUIT INFUSIONS,YOGI TEA,TE351,Women's tea-og,,6 X 17 BAGS,10.3,,2.29,,,G,O,,V
CHEESE SUBSTITUTES (CHILLED),BUTE ISLAND FOODS,CV037,Red Cheddar Style (Melty),,6 X 227G,12.08,,2.69,,,G,,,V
HOUSEHOLD PRODUCTS,BIO-CATOLET,NF970,Cat Litter,100% Recycled Waste Paper,12L,3.49,1,5.59,,,,,,
CHEESE; COWS MILK (CHILLED),CYPRESSA,CV150,Halloumi Cheese,Cows; Sheep and Goats Milk,10 X 250 G,25.4,,3.39,,,,,,
HOUSEHOLD CLEANING PRODUCTS,ECOLEAF,HJ060,Laundry Liquid Bulk,,20L,36.49,1,,,,,,,V
TEAS,CLIPPER,TE510,Fairtrade 160 Teabags,,3 X 160 BAGS,11.81,,5.25,,F,G,,,V
CRISPS & SNACKS,EAT REAL,ZX130,Lentil Tomato & Basil Chips,,12 X 113G,13.12,,1.45,,,G,,,V
READY MEALS (FROZEN),AMY'S KITCHEN,XL274,Rice Macaroni Cheese,,6 X 255G,11.76,,2.59,,,G,,,
GRAINS,SUMA BAGGED DOWN - ORGANIC,QS049,Couscous - wholemeal; organic,,3 KG,7.09,,,,,,O,,V
FAR EASTERN FOOD,CLEARSPRING,JP090,Arame,,5 X 50G,16.84,,4.49,,,G,,,V
FRUIT - DRIED,SUMA COMMODITIES - ORGANIC,DR111,Currants - organic,,12.5 KG,52.65,,,,,G,O,,V
HERBS & SPICES - BULK,BULK ORGANIC,HE707,Cinnamon Ground - OG,,500G,4.15,,,,,G,O,,V
JAMS & FRUIT SPREADS,DUCHY ORIGINALS,JS056,Seville Orange Marmalade Thick,Thick Cut,6 X 340G,15.33,,3.39,,,G,O,S,V
SUPPLEMENTS & REMEDIES,ORALDIET,MD037,Dental Hygiene Lozenges,lactobacillus;aloe & xylitol,12 X 30,29,1,3.99,,,,,,V
PROMOTIONAL MATERIALS,ECOLEAF,BK200,Ecoleaf Cleaning/Paper Leaflet,A5 Leaflet,EACH,0,,,,,,,,V
CIDERS,ASPALL,RT021,Aspall Lady Jennifer's Cyder,Sparkling. ABV 4%,6 X 500ML,11.21,1,2.99,,,G,,,V
COCOA,DIVINE,TE687,Drinking Chocolate,,6 X 400G,16.44,,3.65,,F,G,,S,V
BODYCARE,FAITH,DY875,Coconut Shampoo,,6 X 400ML,14.05,1,3.99,,,,,,V
BODYCARE,FAITH,DY405,Wrapped Soap - Neem & Propolis,,6 X 100G,6.48,1,1.85,,,,,,
PATES; DIPS & TAPAS (CHILLED),FLORENTIN,CV525,Wasabi Houmous,,6 X 150G,12.79,,2.84,,,G,O,,V
FRUIT & VEGETABLE JUICES,FROBISHERS,JU210,Orange Juice,,24 X 250ML,19.41,1,1.33,,,G,,,V
CHOCOLATE,GREEN & BLACKS,KB165,Large Dark Egg With Bars,165g Egg & 2 x 100g Bars,4 X 365G,27.48,1,10.99,,F,G,O,S,
HERBS & SPICES - PREPACKED,SUMA,HE146,Marjoram,,6 X 10G,3.82,,0.85,,,G,,,V
BAGS; BOXES AND BASKETS,SUMA,NF144,Polypropylene Bags 11 in.,3.5 x 6 x 11 inch,1000,31.1,1,,,,G,,,V
FRUIT & VEGETABLE JUICES,FRUIT PASSION,JU352,Orange Juice,Tetrapack with straw,27 X 200ML,8.95,1,0.53,,F,G,,,V
SUPERFOODS & SPORTS NUTRITION,GOOD HEMP NUTRITION,MD044,Shaker/Mixer Bottle,plastic; holds 700ml,4 X 1,9,1,3.6,,,,,,
PATE,GRANOVITA,GH015,Olive Pate,,12 X 125G,14.67,,1.65,,,G,,,
HERB & FRUIT INFUSIONS,HAMBLEDEN TEAS,TE601,Fennel Seed  - organic,,6 X 20BAGS,8.95,,1.99,,,G,O,,V
SUPPLEMENTS & REMEDIES,HIGHER NATURE,VM303,Citricidal,Grapefruit Seed Extract,45ML,5.44,1,9.75,,,,,,V
NON-DAIRY DESSERTS (FROZEN),MOSHI MONSTERS,XL394,Raspberry Lollies,,30 X 60ML,18.5,1,0.99,,,G,,,V
FRUIT & VEGETABLE JUICES,BEET IT,JU454,Beetroot Juice - og,,12 X 250ML,11.42,1,1.52,,,G,O,,V
CHOCOLATE,KINGDOM CHOCOLATE,KB516,Milk Rhubarb&Vanilla Chocolate,,15 X 100G,16.73,1,1.89,,,,,S,
FRUIT JUICE CONCS & CORDIALS,BELVOIR,JU588,Apple & Ginger Cordial,,6 X 500ML,16.83,1,4.49,,,G,,S,V
PROMOTIONAL MATERIALS,SUMA,BK041,Catering List,,EACH,0,,,,,,,,
BODYCARE,LAVERA,DY025,Kids Coloured Sun Block SPF 20,Spray;Waterproof;+Zinc Oxide,4 X 125ML,30.18,1,12.5,,,,O,,V
PEANUT; SEED & NUT BUTTERS,MERIDIAN,GH122,Almond Butter,,6 X 170G,12.55,,2.79,,,G,,,V
CRISPS & SNACKS,SUMA PREPACKS,ZX084,Fruit & Nut Mix,,6 X 125G,7.04,,1.55,,,G,,,V
CHOCOLATE,MONTEZUMA'S,KB416,73% Very Dark Chocolate,,26 X 30G,13.28,1,0.99,,,G,O,S,
FRUIT - DRIED,PEARLS OF SAMARKAND,DR213,Water Melon,,7 X 100G,8.72,,3.35,,,G,O,,V
SNACK BARS & FLAPJACKS,NAKD,KB830,Apple Tart Raw Fruit & Nut Bar,,12 X 68G,8.64,1,1.24,,,,,,V
BODYCARE,NATURTINT,DY835,6N Dark Blonde,,1 X 155ML,5.95,1,10.33,,,G,,,V
NON-DAIRY DESSERTS (FROZEN),BESSANT & DRURY'S,XL243,Lemon Non-Dairy Ice Cream,,6 X 500ML,18.71,1,4.99,,,G,,S,V
SUPPLEMENTS & REMEDIES,NATURES OWN,VM045,Vitamin D3 - with probiotic,50ug / 2000i.u,1 X 90,2.7,1,4.85,,,G,,,
HERB & FRUIT INFUSIONS,HIGHER LIVING,TE450,Green Tea Lemon,,4 X 15 BAGS,11.5,,3.85,,,G,O,,V
INDIAN FOOD,PATAKS,KJ047,Mango pickle - Medium,,6 X 283 G,9.18,,2.05,,,,,,V
DESSERTS,PROVAMEL,SY195,Soya Dessert - Vanilla,new recipe;gluten & wheat free,6 X 4X125G,7.88,,1.75,,,G,,S,V
DESSERTS & PUDDINGS (CHILLED),PUDOLOGY,CV017,Chocolate Orange Pudding,Gluten-free,8 X 85G,11.92,,1.99,,,G,,S,V
TEAS,QI,TE822,Oolong; Pu'erh & Acai Berry,Envelope; string and tagged,6 X 20 BAGS,7.62,,1.69,,,G,O,,V
DAIRY DESSERTS (FROZEN),ROSKILLYS,XL172,OG Strawberry Ice Cream,,24 X 120ML,19.96,1,1.53,,,G,O,,
YOGURTS; COWS MILK (CHILLED),RACHELS DAIRY,CV376,Low Fat Raspberry,Bio Live,6 X 150G,3.87,,0.85,,,G,O,S,
BISCUITS CRACKERS & CRISPBREAD,KALLO,BT034,Original Organic Wholegrain,Salted,12 X 130G,15.21,,1.69,,,G,O,,V
CONDIMENTS; PASTES & PUREES,BIONA,HE005,Ginger Paste - organic,See also 'Far Eastern Food',8 X 50G,14.34,,2.39,,,G,O,S,V
TEAS,CLIPPER,TE968,Green Chai - og,,6 X 20BAGS,10.31,,2.29,,F,G,O,,V
BISCUITS CRACKERS & CRISPBREAD,SAF EXPRESS,BT333,Raw Apple Granola Bites,,12 X 80G,36.34,,4.05,,,G,,,V
OLIVES,ORGANICO,KJ410,Pitted Green Olives / Herbs,Brine,6 X 245G,11.03,,2.45,,,G,O,,V
BISCUITS CRACKERS & CRISPBREAD,NATURES STORE,BT222,Og Rice Milk Mini Rice Cakes,Rice milk coated,12 X 40G,8.96,1,1.19,,,G,O,S,V
PASTA SAUCES & PESTOS,SEEDS OF CHANGE,VF056,Mediterranean Veg Sauce - og,,6 X 350G,11.65,,2.59,,,G,O,S,V
FRUIT & VEGETABLE JUICES,STUTE,JU535,Superior Apple Juice - clear,,8 X 1L,8.45,1,1.69,,,G,,,V
PROMOTIONAL MATERIALS,SUMA,BK604,Suma Car Window Sticker,,EACH,0,,,,,,,,
PICKLES; CHUTNEYS & MUSTARDS,DUCHY ORIGINALS,KJ193,Onion Marmalade,,6 X 340G,16.79,,3.75,,,G,O,S,V
HERB & FRUIT INFUSIONS,TWININGS,TE354,Lemon and Ginger,,4 X 20 BAGS,5.95,,1.97,,,G,,,V
FRUIT (FROZEN),WINDMILL HILL,XL279,British Raspberries,,12 X 250G,22.5,,2.49,,,G,,,V
BODYCARE,URTEKRAM,DY236,Anti-Bacterial Hand Soap,,6 X 380ML,26.22,1,7.49,,,,O,,V
WINES,RED WINE,RS063,Era Nero d'Avola,,1 X 75 CL,6.64,1,10.59,,,G,O,,V
NUTS & SEEDS,SUMA PREPACKS,NU197,Walnuts - light amber pieces,,6 X 250G,15.08,,3.35,,,G,,,V
BODYCARE,WELEDA,DY548,Wild Rose Smoothing Eye Cream,replaces Intensive Eye Cream,6 X 10ML,59.28,1,16.95,,,,,,
BODYCARE,WELEDA,DY451,Wild Rose Body Lotion,Wild Rose Body Lotion 200ml,200ML,11.64,1,19.95,,,,,,V
CHEESE; COWS MILK (CHILLED),MOZZA,CV066,Mozzarella Cheese,,10 X 125G,14.18,,1.89,,,G,O,,
SHEEPS MILK PRODUCTS (CHILLED),WOODLANDS DAIRY,CV096,Rhubarb & Ginger Sheep Yoghurt,,6 X 120G,4.95,,1.09,,,G,,,
COFFEE,SUMA,TE397,Suma Peru,Strength 3 - 4,6 X 227G,17.06,,3.79,,F,G,O,,V
DAIRY DESSERTS (FROZEN),YORVALE,XL417,Yoryog Frozen Blueberry Yoghrt,Luxury Frozen Yoghurt,6 X 500ML,12.43,1,3.39,,,G,,S,
MEATLESS SUBSTITUTES (CHILLED),CAULDRON,CV353,6 Succulent Lincs Veg. Sausage,6 X 46g sausages per pack,4 X 276G,7.81,,2.6,,,,,,
MEATLESS SUBSTITUTES (CHILLED),VBITES,CV555,Fish Style Fingers - Breaded,,6 X 215G,12.74,,2.83,,,,,,V
HOUSEHOLD CLEANING PRODUCTS,ECOLEAF,HJ075,Laundry Liquid,,5L,11.24,1,17.99,,,,,,V
TEAS,CLIPPER,TE509,Organic Blend,,3 X 160 BAGS,11.81,,5.25,,,G,O,,V
CRISPS & SNACKS,EAT REAL,ZX168,Lentil Tomato & Basil Chips,,20 X 40G,8.8,,0.65,,,G,,,V
GRAINS,SUMA COMMODITIES - ORGANIC,QS115,Couscous - wholemeal; organic,,25 KG,44,,,,,,O,,V
READY MEALS (FROZEN),AMY'S KITCHEN,XL286,Macaroni Cheese,,6 X 225G,11.79,,2.59,,,,,,
FAR EASTERN FOOD,CLEARSPRING,JP070,Hijiki (Wild),,5 X 50G,22.45,,5.99,,,G,,,V
FRUIT - DRIED,SUMA BAGGED DOWN - ORGANIC,DR079,Currants - organic,Vostizza,2.5 KG,13.85,,0,,,G,O,,V
JAMS & FRUIT SPREADS,DUCHY ORIGINALS,JS054,Seville Orange Marmalade Thin,Thin Cut,6 X 340G,15.33,,3.39,,,G,O,S,V
VINEGARS,ASPALL,KJ180,Cyder Vinegar,,25 L,39.79,,,,,G,,,V
CHOCOLATE,DIVINE,KB288,Dubble Milk Chocolate,With Crispy Rice Crunch,30 X 33G,14.52,1,0.79,,F,,,S,
PROMOTIONAL MATERIALS,ECOLEAF,BK204,Ecoleaf Paper Products Poster,A3 Poster,EACH,0,,,,,,,,
HERBS & SPICES - BULK,BULK ORGANIC,HE735,Ginger Powder  Organic,,500G,7.35,,,,,G,O,,V
CHOCOLATE,DIVINE,KB577,Milk Mini Eggs,,24 X 170G,66.56,1,4.25,,F,G,,S,
BODYCARE,FAITH,DY439,Chocolate Shampoo,for dark hair,6 X 400ML,18.73,1,5.35,,,,,,V
HOUSEHOLD CLEANING PRODUCTS,FAITH,HJ181,Washing Up Liquid,Bulk,5L,13.25,1,21.2,,,,,,V
PATES; DIPS & TAPAS (CHILLED),FLORENTIN,CV526,Org Hummus Extra with Pinenuts,,6 X 200G,13.07,,2.89,,,G,O,,V
